"","COUNTRYNEW","avg_prior","avg_suff","avg_gini","avg_ratio","prior_suff","prior_gini","prior_ratio","suff_gini","suff_ratio","gini_ratio"
"1","Afghanistan",7,0,40,11,-7,33,4,40,11,-29
"2","Albania",-26,-1,-14,-32,25,12,-6,-13,-31,-18
"3","Algeria",19,2,-6,12,-17,-25,-7,-8,10,18
"4","Argentina",-8,-7,-41,-15,1,-33,-7,-34,-8,26
"5","Armenia",-13,9,-14,-18,22,-1,-5,-23,-27,-4
"6","Australia",-9,0,-47,-48,9,-38,-39,-47,-48,-1
"7","Austria",-1,2,-24,-42,3,-23,-41,-26,-44,-18
"8","Bahrain",-34,-2,-54,-61,32,-20,-27,-52,-59,-7
"9","Bangladesh",-3,3,8,-11,6,11,-8,5,-14,-19
"10","Belgium",10,9,15,15,-1,5,5,6,6,0
"11","Benin",18,-9,3,24,-27,-15,6,12,33,21
"12","Bolivia",14,5,25,38,-9,11,24,20,33,13
"13","Bosnia Herzegovina",1,5,20,16,4,19,15,15,11,-4
"14","Botswana",-1,6,-5,5,7,-4,6,-11,-1,10
"15","Brazil",-17,-2,-27,-8,15,-10,9,-25,-6,19
"16","Bulgaria",24,-1,27,47,-25,3,23,28,48,20
"17","Burkina Faso",0,-6,-22,-7,-6,-22,-7,-16,-1,15
"18","Cambodia",7,16,0,6,9,-7,-1,-16,-10,6
"19","Cameroon",-11,-5,-21,-20,6,-10,-9,-16,-15,1
"20","Canada",5,-10,9,8,-15,4,3,19,18,-1
"21","Chad",0,-9,-6,-4,-9,-6,-4,3,5,2
"22","Chile",1,4,0,-9,3,-1,-10,-4,-13,-9
"23","China",-14,2,-58,-22,16,-44,-8,-60,-24,36
"24","Colombia",15,-9,41,36,-24,26,21,50,45,-5
"25","Comoros",5,-5,18,2,-10,13,-3,23,7,-16
"26","Congo Brazzaville",-40,-12,-44,-44,28,-4,-4,-32,-32,0
"27","Congo Kinshasa",17,-4,27,39,-21,10,22,31,43,12
"28","Costa Rica",-9,-12,8,-1,-3,17,8,20,11,-9
"29","Croatia",6,-8,-11,11,-14,-17,5,-3,19,22
"30","Cyprus",-2,6,-19,-24,8,-17,-22,-25,-30,-5
"31","Czech Republic",8,4,12,9,-4,4,1,8,5,-3
"32","Denmark",-4,-4,-20,-11,0,-16,-7,-16,-7,9
"33","Dominican Republic",-19,-16,-6,-21,3,13,-2,10,-5,-15
"34","Ecuador",8,-5,31,42,-13,23,34,36,47,11
"35","Egypt",5,8,36,5,3,31,0,28,-3,-31
"36","El Salvador",-23,-12,-36,-26,11,-13,-3,-24,-14,10
"37","Estonia",16,5,24,21,-11,8,5,19,16,-3
"38","Eswatini",10,-1,50,3,-11,40,-7,51,4,-47
"39","Ethiopia",10,6,-11,21,-4,-21,11,-17,15,32
"40","Finland",0,-1,-5,-3,-1,-5,-3,-4,-2,2
"41","France",4,9,-4,-8,5,-8,-12,-13,-17,-4
"42","Gabon",-4,0,-37,-10,4,-33,-6,-37,-10,27
"43","Gambia",14,-1,42,36,-15,28,22,43,37,-6
"44","Georgia",16,4,18,17,-12,2,1,14,13,-1
"45","Germany",-24,-4,-89,-67,20,-65,-43,-85,-63,22
"46","Ghana",4,1,20,23,-3,16,19,19,22,3
"47","Greece",13,4,-13,-2,-9,-26,-15,-17,-6,11
"48","Guatemala",-26,-17,-10,-18,9,16,8,7,-1,-8
"49","Guinea",0,-12,-28,-8,-12,-28,-8,-16,4,20
"50","Honduras",-42,-19,-38,-58,23,4,-16,-19,-39,-20
"51","Hong Kong",39,6,83,83,-33,44,44,77,77,0
"52","Hungary",13,-2,-10,6,-15,-23,-7,-8,8,16
"53","Iceland",0,-2,-6,-15,-2,-6,-15,-4,-13,-9
"54","India",-4,2,3,-1,6,7,3,1,-3,-4
"55","Indonesia",9,3,18,27,-6,9,18,15,24,9
"56","Iran",20,7,47,41,-13,27,21,40,34,-6
"57","Iraq",-4,11,31,10,15,35,14,20,-1,-21
"58","Ireland",0,-1,-15,1,-1,-15,1,-14,2,16
"59","Israel",2,1,2,2,-1,0,0,1,1,0
"60","Italy",-27,6,-97,-71,33,-70,-44,-103,-77,26
"61","Ivory Coast",-3,-3,-22,-12,0,-19,-9,-19,-9,10
"62","Jamaica",-29,-9,-4,-21,20,25,8,5,-12,-17
"63","Japan",23,5,45,42,-18,22,19,40,37,-3
"64","Jordan",-5,11,37,-6,16,42,-1,26,-17,-43
"65","Kazakhstan",19,-7,19,22,-26,0,3,26,29,3
"66","Kenya",-9,-3,8,-18,6,17,-9,11,-15,-26
"67","Kosovo",-36,-6,-42,-44,30,-6,-8,-36,-38,-2
"68","Kuwait",-2,2,-7,10,4,-5,12,-9,8,17
"69","Kyrgyzstan",27,20,27,24,-7,0,-3,7,4,-3
"70","Laos",9,10,-7,-2,1,-16,-11,-17,-12,5
"71","Latvia",23,12,33,39,-11,10,16,21,27,6
"72","Lebanon",2,1,34,10,-1,32,8,33,9,-24
"73","Lesotho",-3,2,-3,8,5,0,11,-5,6,11
"74","Liberia",-14,-2,-13,-4,12,1,10,-11,-2,9
"75","Libya",2,0,38,40,-2,36,38,38,40,2
"76","Lithuania",1,4,-11,-3,3,-12,-4,-15,-7,8
"77","Luxembourg",-4,6,-45,-20,10,-41,-16,-51,-26,25
"78","Madagascar",37,-3,62,56,-40,25,19,65,59,-6
"79","Malawi",-3,2,-4,4,5,-1,7,-6,2,8
"80","Malaysia",1,11,-21,-14,10,-22,-15,-32,-25,7
"81","Mali",1,-1,39,-9,-2,38,-10,40,-8,-48
"82","Malta",3,5,25,18,2,22,15,20,13,-7
"83","Mauritania",-20,-13,-20,-26,7,0,-6,-7,-13,-6
"84","Mauritius",9,2,3,13,-7,-6,4,1,11,10
"85","Mexico",-6,-12,-17,-19,-6,-11,-13,-5,-7,-2
"86","Moldova",2,5,24,24,3,22,22,19,19,0
"87","Mongolia",27,4,45,37,-23,18,10,41,33,-8
"88","Montenegro",22,0,47,58,-22,25,36,47,58,11
"89","Morocco",-3,8,31,4,11,34,7,23,-4,-27
"90","Mozambique",-31,-11,-36,-33,20,-5,-2,-25,-22,3
"91","Myanmar",1,12,-14,4,11,-15,3,-26,-8,18
"92","Namibia",-6,-3,8,-2,3,14,4,11,1,-10
"93","Nepal",-8,-11,-31,-11,-3,-23,-3,-20,0,20
"94","Netherlands",0,4,-11,-44,4,-11,-44,-15,-48,-33
"95","New Zealand",-1,0,-7,-21,1,-6,-20,-7,-21,-14
"96","Nicaragua",-40,-26,-60,-43,14,-20,-3,-34,-17,17
"97","Niger",14,-10,15,21,-24,1,7,25,31,6
"98","Nigeria",4,-6,-31,-10,-10,-35,-14,-25,-4,21
"99","North Macedonia",5,5,67,40,0,62,35,62,35,-27
"100","Northern Cyprus",-4,7,2,2,11,6,6,-5,-5,0
"101","Norway",4,0,-6,-1,-4,-10,-5,-6,-1,5
"102","Pakistan",-4,-3,15,6,1,19,10,18,9,-9
"103","Palestine",-11,13,63,-31,24,74,-20,50,-44,-94
"104","Panama",-37,-11,-31,-36,26,6,1,-20,-25,-5
"105","Paraguay",-4,0,11,13,4,15,17,11,13,2
"106","Peru",5,-2,38,34,-7,33,29,40,36,-4
"107","Philippines",13,2,-13,13,-11,-26,0,-15,11,26
"108","Poland",12,7,16,4,-5,4,-8,9,-3,-12
"109","Portugal",10,12,-7,0,2,-17,-10,-19,-12,7
"110","Puerto Rico",-29,-16,-43,-39,13,-14,-10,-27,-23,4
"111","Romania",-7,-5,-8,-2,2,-1,5,-3,3,6
"112","Russia",20,-1,34,39,-21,14,19,35,40,5
"113","Saudi Arabia",-27,-10,-78,-56,17,-51,-29,-68,-46,22
"114","Senegal",1,-4,12,9,-5,11,8,16,13,-3
"115","Serbia",0,-9,4,22,-9,4,22,13,31,18
"116","Sierra Leone",0,1,4,9,1,4,9,3,8,5
"117","Singapore",6,12,16,9,6,10,3,4,-3,-7
"118","Slovakia",5,1,-1,-4,-4,-6,-9,-2,-5,-3
"119","Slovenia",-8,-2,-59,-41,6,-51,-33,-57,-39,18
"120","South Africa",5,-6,12,8,-11,7,3,18,14,-4
"121","South Korea",10,2,15,6,-8,5,-4,13,4,-9
"122","Spain",6,3,-12,-12,-3,-18,-18,-15,-15,0
"123","Sri Lanka",0,6,0,4,6,0,4,-6,-2,4
"124","Sweden",-1,-1,-14,-15,0,-13,-14,-13,-14,-1
"125","Switzerland",-8,-3,-43,-42,5,-35,-34,-40,-39,1
"126","Taiwan",5,10,7,12,5,2,7,-3,2,5
"127","Tajikistan",20,13,21,18,-7,1,-2,8,5,-3
"128","Tanzania",-2,4,-7,0,6,-5,2,-11,-4,7
"129","Thailand",-17,13,-52,-31,30,-35,-14,-65,-44,21
"130","Togo",29,-8,21,44,-37,-8,15,29,52,23
"131","Tunisia",11,7,52,33,-4,41,22,45,26,-19
"132","Turkey",14,3,26,33,-11,12,19,23,30,7
"133","Uganda",-12,-5,-16,-17,7,-4,-5,-11,-12,-1
"134","Ukraine",7,4,-16,5,-3,-23,-2,-20,1,21
"135","United Arab Emirates",-27,-9,-21,-86,18,6,-59,-12,-77,-65
"136","United Kingdom",2,-5,-4,-3,-7,-6,-5,1,2,1
"137","United States",6,-6,6,8,-12,0,2,12,14,2
"138","Uruguay",-1,0,17,10,1,18,11,17,10,-7
"139","Uzbekistan",11,5,8,14,-6,-3,3,3,9,6
"140","Venezuela",5,-5,12,14,-10,7,9,17,19,2
"141","Vietnam",8,30,-16,-3,22,-24,-11,-46,-33,13
"142","Yemen",1,-4,-3,1,-5,-4,0,1,5,4
"143","Zambia",-3,4,3,-2,7,6,1,-1,-6,-5
"144","Zimbabwe",2,4,14,7,2,12,5,10,3,-7
