"","COUNTRYNEW","Mean_Life_Sat_2008","Mean_Life_Sat_2009","Mean_Life_Sat_2010","Mean_Life_Sat_2011","Mean_Life_Sat_2012","Mean_Life_Sat_2013","Mean_Life_Sat_2014","Mean_Life_Sat_2015","Mean_Life_Sat_2016","Mean_Life_Sat_2017","Mean_Life_Sat_2018","Mean_Life_Sat_2019","Mean_Life_Sat_2021","Mean_Life_Sat_2022","Mean_Life_Sat_2007","Mean_Life_Sat_2020","Mean_Life_Sat_2006","Mean_Life_Sat_2005","Mean_Life_Sat_2023","SD_Life_Sat_2008","SD_Life_Sat_2009","SD_Life_Sat_2010","SD_Life_Sat_2011","SD_Life_Sat_2012","SD_Life_Sat_2013","SD_Life_Sat_2014","SD_Life_Sat_2015","SD_Life_Sat_2016","SD_Life_Sat_2017","SD_Life_Sat_2018","SD_Life_Sat_2019","SD_Life_Sat_2021","SD_Life_Sat_2022","SD_Life_Sat_2007","SD_Life_Sat_2020","SD_Life_Sat_2006","SD_Life_Sat_2005","SD_Life_Sat_2023","N_2008","N_2009","N_2010","N_2011","N_2012","N_2013","N_2014","N_2015","N_2016","N_2017","N_2018","N_2019","N_2021","N_2022","N_2007","N_2020","N_2006","N_2005","N_2023"
"1","Afghanistan",3.75,4.53,4.79,3.95,3.86,3.57,3.17,4.04,4.25,2.66,2.71,2.37,2.46,1.25,NA,NA,NA,NA,NA,1.76,1.76,1.88,1.8,1.81,1.22,1.39,2.22,1.87,1.46,1.4,1.38,1.12,1.06,NA,NA,NA,NA,NA,1008,1994,1000,1000,1990,1000,942,997,1000,967,968,1121,998,997,NA,NA,NA,NA,NA
"2","Albania",NA,5.46,5.32,6.02,5.61,4.93,4.88,4.7,4.52,4.75,4.97,4.85,4.93,4.99,4.74,5.45,NA,NA,NA,NA,1.9,1.84,1.78,1.94,2.22,2.64,2.73,2.65,2.68,2.63,2.68,2.54,2.64,1.81,2.75,NA,NA,NA,NA,997,993,1005,1029,1035,981,991,982,987,977,1069,980,980,965,986,NA,NA,NA
"3","Algeria",NA,NA,5.48,5.45,5.72,NA,6.45,NA,5.42,5.36,5.07,4.87,5.4,5.65,NA,5.63,NA,NA,NA,NA,NA,1.61,1.68,1.91,NA,1.6,NA,2.06,1.96,1.91,1.84,1.9,1.81,NA,1.75,NA,NA,NA,NA,NA,998,2000,2025,NA,1002,NA,998,1010,994,1095,992,820,NA,1011,NA,NA,NA
"4","Angola",NA,NA,NA,5.49,4.57,3.9,3.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.26,2.18,2.36,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,991,993,985,973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Argentina",6.09,6.44,6.46,6.8,6.43,6.64,6.57,6.68,6.44,6.01,5.89,6.12,6.26,6.16,6.01,6.12,6.27,NA,NA,1.99,2.07,2.1,1.97,2.14,1.95,2.17,1.95,2.01,2.32,2.41,2.19,1.99,2.31,2.08,2.1,2.01,NA,NA,995,998,992,998,998,1000,1000,998,996,996,997,1056,1000,1005,1000,1000,996,NA,NA
"6","Armenia",4.55,4.11,4.25,4.22,4.21,4.19,4.3,4.18,4.17,4.05,4.91,5.37,5.15,5.18,4.8,NA,4.21,NA,NA,1.96,2.2,2.14,1.98,2.22,2.09,2.07,2.28,2.15,2.33,2.19,2.39,2.39,2.35,1.75,NA,1.99,NA,NA,998,999,997,984,991,993,990,990,991,988,989,1065,973,993,999,NA,997,NA,NA
"7","Australia",7.27,NA,7.55,7.46,7.23,7.43,7.34,7.41,7.49,7.4,7.34,7.32,7.29,7.28,7.32,7.39,NA,7.42,NA,1.7,NA,1.77,1.76,1.72,1.74,1.78,1.61,1.65,1.76,1.76,1.71,1.73,1.7,1.69,1.76,NA,1.46,NA,1005,NA,999,1005,998,1001,1993,998,1000,995,1000,1043,997,999,1203,998,NA,999,NA
"8","Austria",7.17,NA,7.34,7.42,7.44,7.61,7.08,7.18,7.14,7.39,7.44,7.36,7.19,6.98,NA,7.4,7.12,NA,NA,1.74,NA,1.79,1.81,1.71,1.67,1.76,1.71,1.66,1.51,1.53,1.54,1.74,1.86,NA,1.43,1.8,NA,NA,998,NA,1992,995,998,1000,1997,1000,999,999,1000,1024,1000,999,NA,999,995,NA,NA
"9","Azerbaijan",4.88,4.65,4.27,4.67,4.98,5.55,5.33,5.18,5.35,5.25,5.25,5.22,NA,NA,4.64,NA,4.8,NA,NA,1.91,1.86,1.93,1.87,1.89,1.42,1.49,1.68,1.64,1.66,1.85,1.37,NA,NA,1.71,NA,1.59,NA,NA,987,992,977,990,988,968,978,991,980,987,989,1070,NA,NA,952,NA,996,NA,NA
"10","Bahrain",NA,5.6,6.04,5.02,5.4,6.61,5.97,5.93,6.03,6.21,NA,6.96,NA,NA,NA,6.14,NA,NA,NA,NA,2.39,1.56,1.74,1.85,1.85,2.35,2.11,2.24,2.23,NA,2.19,NA,NA,NA,2.41,NA,NA,NA,NA,2113,2023,2004,999,997,984,1991,996,1061,NA,1032,NA,NA,NA,992,NA,NA,NA
