"","COUNTRYNEW","div_m_p_percent","div_m_s_percent","div_m_g_percent","div_m_r_percent","div_p_s_percent","div_p_g_percent","div_p_r_percent","div_s_g_percent","div_s_r_percent","div_g_r_percent"
"1","Afghanistan",15.3846153846154,7.69230769230769,46.1538461538462,30.7692307692308,23.0769230769231,30.7692307692308,15.3846153846154,53.8461538461538,38.4615384615385,15.3846153846154
"2","Albania",14.2857142857143,7.14285714285714,21.4285714285714,NA,21.4285714285714,21.4285714285714,NA,28.5714285714286,NA,NA
"3","Algeria",40,10,50,60,30,50,60,60,70,10
"4","Angola",33.3333333333333,0,66.6666666666667,100,33.3333333333333,33.3333333333333,66.6666666666667,66.6666666666667,100,33.3333333333333
"5","Argentina",18.75,6.25,18.75,18.75,12.5,0,0,12.5,12.5,0
"6","Armenia",20,6.66666666666667,40,20,13.3333333333333,33.3333333333333,13.3333333333333,46.6666666666667,26.6666666666667,20
"7","Australia",33.3333333333333,13.3333333333333,20,53.3333333333333,33.3333333333333,13.3333333333333,20,20,40,33.3333333333333
"8","Austria",64.2857142857143,28.5714285714286,85.7142857142857,78.5714285714286,64.2857142857143,21.4285714285714,14.2857142857143,71.4285714285714,64.2857142857143,7.14285714285714
"9","Azerbaijan",15.3846153846154,0,15.3846153846154,23.0769230769231,15.3846153846154,15.3846153846154,38.4615384615385,15.3846153846154,23.0769230769231,23.0769230769231
"10","Bahrain",20,10,50,50,10,30,30,40,40,20
"11","Bangladesh",33.3333333333333,6.66666666666667,46.6666666666667,33.3333333333333,40,26.6666666666667,0,53.3333333333333,40,26.6666666666667
"12","Belarus",15.3846153846154,0,53.8461538461538,53.8461538461538,15.3846153846154,53.8461538461538,38.4615384615385,53.8461538461538,53.8461538461538,15.3846153846154
"13","Belgium",26.6666666666667,13.3333333333333,66.6666666666667,46.6666666666667,26.6666666666667,40,33.3333333333333,53.3333333333333,46.6666666666667,46.6666666666667
"14","Belize",0,0,0,0,0,0,0,0,0,0
"15","Benin",23.0769230769231,0,38.4615384615385,53.8461538461538,23.0769230769231,46.1538461538462,30.7692307692308,38.4615384615385,53.8461538461538,15.3846153846154
"16","Bhutan",0,50,0,0,50,0,0,50,50,0
"17","Bolivia",53.3333333333333,13.3333333333333,66.6666666666667,80,53.3333333333333,40,40,66.6666666666667,93.3333333333333,26.6666666666667
"18","Bosnia Herzegovina",14.2857142857143,14.2857142857143,57.1428571428571,42.8571428571429,14.2857142857143,57.1428571428571,42.8571428571429,42.8571428571429,42.8571428571429,28.5714285714286
"19","Botswana",8.33333333333333,33.3333333333333,33.3333333333333,NA,25,25,NA,33.3333333333333,NA,NA
"20","Brazil",25,6.25,6.25,12.5,18.75,18.75,25,0,6.25,6.25
"21","Bulgaria",46.1538461538462,30.7692307692308,69.2307692307692,61.5384615384615,61.5384615384615,38.4615384615385,30.7692307692308,53.8461538461538,61.5384615384615,7.69230769230769
"22","Burkina Faso",15.3846153846154,7.69230769230769,53.8461538461538,30.7692307692308,23.0769230769231,38.4615384615385,30.7692307692308,61.5384615384615,38.4615384615385,23.0769230769231
"23","Burundi",0,0,25,NA,0,25,NA,25,NA,NA
"24","Cambodia",18.75,12.5,50,43.75,31.25,31.25,25,37.5,43.75,31.25
"25","Cameroon",37.5,12.5,50,50,50,12.5,12.5,62.5,62.5,0
"26","Canada",31.25,25,68.75,62.5,18.75,37.5,43.75,43.75,62.5,43.75
"27","Central African Republic",25,0,75,NA,25,50,NA,75,NA,NA
