"","country_name","div_m_p_percent","div_m_s_percent","div_m_g_percent","div_m_r_percent","div_p_s_percent","div_p_g_percent","div_p_r_percent","div_s_g_percent","div_s_r_percent","div_g_r_percent"
"1","Albania",0,0,100,100,0,100,100,100,100,0
"2","Algeria",0,0,0,0,0,0,0,0,0,0
"3","Andorra",0,0,0,100,0,0,100,0,100,100
"4","Argentina",16.6666666666667,16.6666666666667,33.3333333333333,33.3333333333333,33.3333333333333,16.6666666666667,16.6666666666667,50,50,0
"5","Armenia",0,0,50,0,0,50,0,50,0,50
"6","Australia",25,0,25,25,25,0,0,25,25,0
"7","Azerbaijan",0,0,100,100,0,100,100,100,100,0
"8","Bangladesh",0,0,0,50,0,0,50,0,50,50
"9","Belarus",0,0,0,0,0,0,0,0,0,0
"10","Bosnia & Herzegovina",0,0,100,100,0,100,100,100,100,0
"11","Brazil",0,25,75,75,25,75,75,50,50,0
"12","Bulgaria",0,0,0,0,0,0,0,0,0,0
"13","Canada",25,50,25,25,75,0,0,75,75,0
"14","Chile",20,0,40,20,20,20,0,40,40,20
"15","China",40,0,40,40,40,0,0,40,60,20
"16","Colombia",0,0,0,0,0,0,0,0,33.3333333333333,33.3333333333333
"17","Cyprus",0,0,50,50,0,50,50,50,50,0
"18","Czechia",0,0,50,0,0,50,0,50,50,100
"19","Ecuador",0,0,0,0,0,0,0,0,100,100
"20","Egypt",0,0,0,33.3333333333333,0,0,33.3333333333333,0,33.3333333333333,33.3333333333333
"21","Estonia",0,0,0,0,0,0,0,0,0,0
"22","Ethiopia",0,0,100,100,0,100,100,100,100,0
"23","Finland",50,50,50,50,0,0,0,0,50,50
"24","Georgia",0,0,0,50,0,0,50,0,50,50
"25","Germany",66.6666666666667,33.3333333333333,66.6666666666667,66.6666666666667,33.3333333333333,0,0,33.3333333333333,33.3333333333333,0
"26","Ghana",100,0,100,100,100,0,0,100,100,0
"27","Guatemala",0,0,100,100,0,100,100,100,100,0
"28","Hong Kong SAR China",0,0,0,0,0,0,0,0,0,0
"29","Hungary",50,0,50,100,50,0,50,50,100,50
"30","India",0,0,0,50,0,0,50,0,50,50
"31","Indonesia",50,50,50,50,0,0,0,0,0,0
"32","Iran",0,0,0,0,0,0,0,0,50,50
"33","Iraq",0,0,0,33.3333333333333,0,0,33.3333333333333,0,33.3333333333333,33.3333333333333
"34","Japan",16.6666666666667,16.6666666666667,50,33.3333333333333,0,33.3333333333333,16.6666666666667,33.3333333333333,50,33.3333333333333
"35","Jordan",33.3333333333333,33.3333333333333,66.6666666666667,33.3333333333333,0,33.3333333333333,0,33.3333333333333,0,33.3333333333333
"36","Kazakhstan",0,0,100,100,0,100,100,100,100,0
"37","Kyrgyzstan",0,0,50,50,0,50,50,50,50,0
"38","Lebanon",0,0,0,0,0,0,0,0,0,0
"39","Libya",0,0,0,0,0,0,0,0,0,0
"40","Malaysia",0,0,50,100,0,50,100,50,100,50
"41","Mexico",0,0,33.3333333333333,33.3333333333333,0,33.3333333333333,33.3333333333333,33.3333333333333,50,16.6666666666667
"42","Moldova",0,0,0,0,0,0,0,0,0,0
"43","Montenegro",0,0,0,0,0,0,0,0,0,0
"44","Morocco",33.3333333333333,0,66.6666666666667,66.6666666666667,33.3333333333333,33.3333333333333,33.3333333333333,66.6666666666667,66.6666666666667,0
"45","Netherlands",50,0,50,50,50,0,0,50,100,50
"46","New Zealand",0,0,33.3333333333333,0,0,33.3333333333333,0,33.3333333333333,100,100
"47","Nigeria",50,25,50,25,25,0,0,25,75,50
"48","North Macedonia",0,0,0,0,0,0,0,0,0,0
"49","Norway",0,0,0,0,0,0,0,0,0,0
"50","Pakistan",0,50,50,50,50,50,50,100,100,0
"51","Peru",25,25,25,25,50,0,0,50,50,25
"52","Philippines",0,0,33.3333333333333,33.3333333333333,0,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,0
"53","Poland",33.3333333333333,0,66.6666666666667,33.3333333333333,33.3333333333333,33.3333333333333,0,66.6666666666667,66.6666666666667,66.6666666666667
"54","Puerto Rico",0,0,0,0,0,0,0,0,0,0
"55","Romania",0,0,66.6666666666667,33.3333333333333,0,66.6666666666667,33.3333333333333,66.6666666666667,33.3333333333333,33.3333333333333
"56","Russia",0,0,0,0,0,0,0,0,0,0
"57","Rwanda",0,0,0,0,0,0,0,0,0,0
"58","Serbia",0,0,0,0,0,0,0,0,33.3333333333333,33.3333333333333
"59","Singapore",50,50,50,50,100,0,0,100,100,0
"60","Slovakia",0,0,50,50,0,50,50,50,100,50
"61","Slovenia",0,50,0,0,50,0,0,50,50,50
"62","South Africa",40,0,40,60,40,0,20,40,60,20
"63","South Korea",20,0,20,40,20,0,20,20,40,20
"64","Spain",0,0,25,0,0,25,0,25,0,25
"65","Sweden",40,60,40,20,20,0,20,20,60,40
"66","Switzerland",50,50,50,50,0,0,0,0,0,0
"67","Taiwan",66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,0,0,0,0,0,0
"68","Thailand",0,0,50,0,0,50,0,50,50,50
"69","Trinidad & Tobago",0,100,0,0,100,0,0,100,100,0
"70","Tunisia",100,0,100,100,100,0,0,100,100,0
"71","Turkey",0,20,40,20,20,40,20,60,40,20
"72","Ukraine",0,0,33.3333333333333,33.3333333333333,0,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,66.6666666666667
"73","United Kingdom",50,0,50,50,50,0,0,50,50,0
"74","United States",50,33.3333333333333,50,50,50,0,0,50,50,0
"75","Uruguay",33.3333333333333,33.3333333333333,66.6666666666667,33.3333333333333,66.6666666666667,33.3333333333333,0,33.3333333333333,66.6666666666667,33.3333333333333
"76","Venezuela",0,0,0,0,0,0,0,0,50,50
"77","Vietnam",0,0,0,0,0,0,0,0,0,0
"78","Zimbabwe",0,0,50,0,0,50,0,50,0,50
