"","COUNTRYNEW","average_ls_val","n.x","rank_m","prior_ls_val","n.y","rank_p","sum_WGT_by_country","total_WGT","suff_ls_val","rank_s","ls_gini_val","n.x.x","rank_g","ninety_percentile","ten_percentile","ls_9010ratio","n.y.y","rank_9010"
"1","Afghanistan",1.85897797363619,1995,144,-1.01534696242934,1995,137,1947.12301981639,1993.2308963863,97.686776948245,144,0.523645682001573,1995,104,4.46723009993351,0,Inf,1995,133
"2","Albania",5.2773413516905,2946,86,0.372794908584356,2946,112,901.952929002991,2941.2884323161,30.6652322530897,87,0.517210943930099,2946,100,12.5085066554149,0.377915587990501,33.0986787867805,2946,118
"3","Algeria",5.39015842234592,2823,81,1.14861118455457,2823,62,754.573353844115,2809.60700729219,26.8569003382202,79,0.491464484728151,2823,87,12.013933822372,1.07249884016109,11.2018152118164,2823,69
"4","Argentina",6.02367541900138,3005,55,1.14754814002731,3005,63,622.30196764321,3004.99999999166,20.7088841146402,62,0.50777139057392,3005,96,13.9176250778976,1.22118076723734,11.3968590492816,3005,70
"5","Armenia",5.34169114530715,1966,83,0.604351154396376,1966,96,487.938810138285,1967.24506982673,24.803153283859,74,0.508344242742513,1966,97,13.2373796986847,0.649742652636548,20.3732656998422,1966,101
"6","Australia",7.09458005175734,2994,13,1.57187008025521,2994,22,231.573252449538,2995.50998543996,7.73067870162772,13,0.451745993681602,2994,60,16.4162228415179,1.56628607030634,10.480986297929,2994,61
"7","Austria",7.09732441761283,2998,12,1.64585086207698,2998,13,212.107443360738,2995.47212555117,7.08093530737531,10,0.412720378717629,2998,36,15.5683542486861,1.72146225441148,9.04368028331154,2998,54
"8","Bahrain",6.1731759897121,992,45,0.922459300005638,992,79,172.63708960153,984.043568140175,17.543642902703,47,0.51317234146882,992,99,15.6011994534562,0.694824966437506,22.4534238218964,992,106
"9","Bangladesh",4.28212244963834,2900,122,-0.0149601010699519,2900,125,1426.58229581337,2918.67371121803,48.8777587686573,119,0.555747876761609,2900,114,9.92521579524092,0,Inf,2900,133
"10","Belgium",6.8591452622332,2987,18,1.71596025109432,2987,8,199.866053016331,2982.95950102474,6.70026036047996,9,0.311279673066063,2987,3,12.4087727568707,2.76850234105555,4.48212471156503,2987,3
"11","Benin",4.37367636390113,3002,119,0.524701706743587,3002,101,1676.84849050705,2998.66527773308,55.9198288304691,128,0.557498365304898,3002,116,10.9010829886995,0.586460133973939,18.5879352358228,3002,95
"12","Bolivia",5.68183129036983,3966,72,1.18634500918509,3966,58,883.790850834272,3938.63563060773,22.4390101985114,67,0.424715391772512,3966,47,11.7512859778947,1.61006899815878,7.2986226002321,3966,34
"13","Bosnia Herzegovina",5.71309289462589,2977,71,1.10539379070014,2977,70,656.19635612263,2967.76517378494,22.1107910396344,66,0.436561280185434,2977,51,12.2016023485806,1.33760377827098,9.12198555864774,2977,55
"14","Botswana",3.43527510374182,1000,138,-1.30257518781092,1000,139,597.207777847938,998.881356958198,59.7876588333334,132,0.65562704024769,1000,143,7.99520266274589,0,Inf,1000,133
"15","Brazil",6.12456583655164,2981,51,1.12072197368276,2981,68,563.70160879109,2985.16375498217,18.8834400742768,53,0.482356062828032,2981,78,13.6178236962817,1.36659734353712,9.9647666964104,2981,59
"16","Bulgaria",5.46610513830512,2985,80,1.20847118380158,2985,56,841.030516674226,2980.47889424087,28.2179658543913,81,0.440204297790631,2985,53,10.9233451907817,1.51730734631553,7.19916450500738,2985,33
"17","Burkina Faso",4.6375875113409,1960,108,0.405964523197847,1960,108,886.337874179258,1940.46541688007,45.6765612243858,114,0.585537182272173,1960,130,11.5289248420045,0.392219354414906,29.3940742909099,1960,115
"18","Cambodia",4.3934718837505,2901,118,0.375118230024881,2901,111,1181.09860039165,2918.01204917996,40.47613856576,102,0.561810269357401,2901,118,11.2949125214179,0.430798967204032,26.2185227479167,2901,112
"19","Cameroon",4.97320063281424,2958,99,0.398174413645604,2958,110,1206.61993146164,2943.1606701459,40.9974196686254,104,0.563836716705138,2958,120,12.2945674463199,0.342970511736941,35.8473018104539,2958,119
